catalogNumber,large JPG,thumbnail,webview
LSU00120587,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/120/LSU00120587_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/120/LSU00120587_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/120/LSU00120587_5_WR.JPG
LSU00120889,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/120/LSU00120889_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/120/LSU00120889_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/120/LSU00120889_5_WR.JPG
LSU00122697,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/122/LSU00122697_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/122/LSU00122697_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/122/LSU00122697_5_WR.JPG
LSU00128831,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/128/LSU00128831_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/128/LSU00128831_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/128/LSU00128831_5_WR.JPG
LSU00129622,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/129/LSU00129622_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/129/LSU00129622_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/129/LSU00129622_5_WR.JPG
LSU00129774,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/129/LSU00129774_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/129/LSU00129774_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/129/LSU00129774_5_WR.JPG
LSU00133816,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/133/LSU00133816_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/133/LSU00133816_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/133/LSU00133816_5_WR.JPG
LSU00135625,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135625_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135625_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135625_5_WR.JPG
LSU00135626,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135626_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135626_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135626_5_WR.JPG
LSU00135627,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135627_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135627_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135627_5_WR.JPG
