catalogNumber,large JPG,thumbnail,webview
LSU00097363-1,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/097/LSU00097363-1_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/097/LSU00097363-1_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/097/LSU00097363-1_WR.JPG
LSU00097363-2,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/097/LSU00097363-2_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/097/LSU00097363-2_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/097/LSU00097363-2_WR.JPG
LSU00046076-1,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046076-1_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046076-1_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046076-1_WR.JPG
LSU00046080-1,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046080-1_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046080-1_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046080-1_WR.JPG
LSU00046080-2,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046080-2_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046080-2_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046080-2_WR.JPG
LSU00046081-1,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046081-1_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046081-1_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046081-1_WR.JPG
LSU00046081-2,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046081-2_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046081-2_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046081-2_WR.JPG
LSU00046600-1,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046600-1_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046600-1_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046600-1_WR.JPG
LSU00046600-2,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046600-2_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046600-2_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046600-2_WR.JPG
LSU00046835-1,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046835-1_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046835-1_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046835-1_WR.JPG
