CSVDate,Barcodes,Files,Vascular,Algae,Bryophyte,Fungi,Lichen
2020-07-10,382,422,192,0,1,137,91
2020-09-03,32,37,33,0,0,0,0
2020-09-06,351,351,351,0,0,0,0
2020-09-13,9,11,9,0,0,0,0
2020-09-20,3,6,0,0,0,2,4
2020-09-27,0,0,0,0,0,0,0
2020-10-04,122,147,14,0,0,133,0
2020-10-11,213,216,216,0,0,0,0
2020-10-18,0,0,0,0,0,0,0
2020-10-25,0,0,0,0,0,0,0
