catalogNumber,large JPG,thumbnail,webview
LSU00182872,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/182/LSU00182872_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/182/LSU00182872_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/182/LSU00182872_WR.JPG
LSU00182939,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/182/LSU00182939_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/182/LSU00182939_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/182/LSU00182939_WR.JPG
LSU00213500,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/213/LSU00213500_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/213/LSU00213500_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/213/LSU00213500_WR.JPG
LSU00214305,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214305_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214305_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214305_WR.JPG
LSU00214305,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214305_1_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214305_1_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214305_1_WR.JPG
LSU00214310,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214310_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214310_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214310_WR.JPG
LSU00214310,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214310_1_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214310_1_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/214/LSU00214310_1_WR.JPG
NLU0440216,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/440/NLU0440216_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/440/NLU0440216_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/440/NLU0440216_WR.JPG
NO0110760,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/110/NO0110760_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/110/NO0110760_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NO/0/110/NO0110760_WR.JPG
