catalogNumber,large JPG,thumbnail,webview
LSU00135472,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135472_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135472_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135472_5_WR.JPG
LSU00135473,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135473_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135473_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135473_5_WR.JPG
LSU00135474,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135474_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135474_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135474_5_WR.JPG
LSU00135475,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135475_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135475_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135475_5_WR.JPG
LSU00135476,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135476_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135476_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135476_5_WR.JPG
LSU00135477,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135477_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135477_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135477_5_WR.JPG
LSU00135478,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135478_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135478_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135478_5_WR.JPG
LSU00135939,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135939_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135939_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135939_5_WR.JPG
LSU00135940,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135940_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135940_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135940_5_WR.JPG
LSU00135941,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135941_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135941_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135941_5_WR.JPG
