catalogNumber,large JPG,thumbnail,webview
LSU00163402,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163402_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163402_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163402_WR.JPG
LSU00163403,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163403_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163403_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163403_WR.JPG
LSU00163404,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163404_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163404_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163404_WR.JPG
LSU00163406,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163406_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163406_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163406_WR.JPG
LSU00163407,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163407_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163407_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163407_WR.JPG
LSU00163408,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163408_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163408_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163408_WR.JPG
LSU00163409,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163409_1_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163409_1_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163409_1_WR.JPG
LSU00163409,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163409_2_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163409_2_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163409_2_WR.JPG
LSU00163409,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163409_4_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163409_4_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163409_4_WR.JPG
LSU00163410,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163410_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163410_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163410_WR.JPG
LSU00163411,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163411_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163411_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163411_WR.JPG
LSU00163412,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163412_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163412_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163412_WR.JPG
LSU00163413,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163413_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163413_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163413_WR.JPG
LSU00163414,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163414_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163414_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163414_WR.JPG
LSU00163415,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163415_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163415_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163415_WR.JPG
LSU00163416,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163416_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163416_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163416_WR.JPG
LSU00163417,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163417_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163417_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163417_WR.JPG
LSU00163418,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163418_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163418_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163418_WR.JPG
LSU00163419,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163419_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163419_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163419_WR.JPG
LSU00163420,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163420_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163420_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163420_WR.JPG
LSU00163421,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163421_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163421_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163421_WR.JPG
LSU00163422,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163422_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163422_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163422_WR.JPG
LSU00163424,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163424_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163424_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163424_WR.JPG
LSU00163425,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163425_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163425_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163425_WR.JPG
LSU00163426,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163426_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163426_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/163/LSU00163426_WR.JPG
