catalogNumber,large JPG,thumbnail,webview
LSU00163401,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/163/LSU00163401_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/163/LSU00163401_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/163/LSU00163401_WR.JPG
LSU00163401,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/163/LSU00163401_1_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/163/LSU00163401_1_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/163/LSU00163401_1_WR.JPG
LSU00163401,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/163/LSU00163401_2_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/163/LSU00163401_2_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/163/LSU00163401_2_WR.JPG
LSU00194234,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/194/LSU00194234_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/194/LSU00194234_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/194/LSU00194234_WR.JPG
