catalogNumber,large JPG,thumbnail,webview
NLU0050634,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050634_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050634_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050634_WR.JPG
NLU0050848,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050848_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050848_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050848_WR.JPG
NLU0050915,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050915_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050915_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050915_WR.JPG
NLU0050989,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050989_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050989_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050989_WR.JPG
NLU0051011,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/051/NLU0051011_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/051/NLU0051011_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/051/NLU0051011_WR.JPG
NLU0052277,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/052/NLU0052277_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/052/NLU0052277_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/052/NLU0052277_WR.JPG
NLU0052357,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/052/NLU0052357_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/052/NLU0052357_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/052/NLU0052357_WR.JPG
NLU0053862,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/053/NLU0053862_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/053/NLU0053862_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/053/NLU0053862_WR.JPG
NLU0054030,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/054/NLU0054030_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/054/NLU0054030_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/054/NLU0054030_WR.JPG
NLU0054289,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/054/NLU0054289_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/054/NLU0054289_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/054/NLU0054289_WR.JPG
