catalogNumber,large JPG,thumbnail,webview
NLU0227624,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227624_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227624_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227624_WR.JPG
NLU0227817,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227817_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227817_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227817_WR.JPG
NLU0304028,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/304/NLU0304028_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/304/NLU0304028_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/304/NLU0304028_WR.JPG
NLU0227624,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227624_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227624_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227624_WR.JPG
NLU0227817,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227817_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227817_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/227/NLU0227817_WR.JPG
NLU0304028,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/304/NLU0304028_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/304/NLU0304028_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/304/NLU0304028_WR.JPG
NLU0050634,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050634_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050634_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050634_WR.JPG
NLU0050848,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050848_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050848_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050848_WR.JPG
NLU0050915,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050915_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050915_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050915_WR.JPG
NLU0050989,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050989_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050989_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Vascular/NLU/0/050/NLU0050989_WR.JPG
